Arcadia Hotel,,,,,,,
"Identified by: Greema Sunny
Reported to:
Version:
Environment Details:
Date: 20/02/2023",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Bug ID,Expected result,Bug Description,Steps to reproduce,Severity,Priority,Screenshot,Status
DEF_AH_01,should load quickly when clicked on the link,site is not loading quickly,click on the site link,minor,,http://www.arcadiahotels.net/index.php,New
DEF_AH_02,site should be secured,https is not enabled for the site,click on the site link,major,,https://drive.google.com/file/d/16gmUd8iEO6XPwBxUEe3K5ezoD2yr6N7u/view?usp=share_link,New
DEF_AH_03,should not contain grammatical errors,"There is gramatical error in the content.
1.'multi-channel entertainment can be also enjoyed' change to 'multi-channel entertainment can also be enjoyed'
2. 'person who looks into finding comfort' change to ' person who looks for finding comfort'  ","1.open the website
2.check all contents",Trivial,,"https://drive.google.com/file/d/1U3ypiltYt4Gzch53nhCpy1qEItjw4t9e/view?usp=share_link
https://drive.google.com/file/d/1X4nTIorFCYeFrW17iacBfjGFUaiSKB5t/view?usp=share_link",New
DEF_AH_04,social media icons should redirect to the respective social media network,social media icons is not redirected to the respective social media network,"1.open the website
2.click social media icons",major,,https://drive.google.com/file/d/1PE2XF3rm85pxB0EHntP_XQZU-vLs_QV4/view?usp=share_link,New
DEF_AH_05,mail to link  should redirect to the email page with hotel's email address prepopulated in the 'To' field,mail to link  is not redirected to the email page ,"1.open the website
2.click Email link",major,,https://drive.google.com/file/d/17cMW8vMME27EfyAuYPbidLIpm8Bqr7yg/view?usp=share_link,New
DEF_AH_06,alignment of text in a particular section should be same,"there is alignment issues in the the tourist destination page,Why choose us, tourist spots list...","1.open the website
2.check all contents",trivial,,https://drive.google.com/file/d/1FWFA4yWFZPnxf6TE6kVof4MW8d56FCiK/view?usp=share_link,New
DEF_AH_07,should not contain spelling mistakes,"There is spelling mistake in the content.
1. The spelling of coffee in the bottom facility link is incorrect. ","1.open the website
2.Scroll down to the bottom of the page
3.Check facilities",Trivial,,https://drive.google.com/file/d/1BWmXr-fcZ_xEoAw6Oh6DKyZ-BSJVhCiq/view?usp=share_link,New
DEF_AH_08,full stop should not be present for bulleted list,full stop is given for bulleted list in the 'Why choose us' section,"1.open the website
2.Go to home
3.check 'why choose us' section",Trivial,,https://drive.google.com/file/d/149ekTSQgh9p81iDUlVZvP2D33VP2K_Gm/view?usp=share_link,New
DEF_AH_09,Unnecessary headings should not be present,an abbreviation without any expansion is given as heading in the Room Category Page,"1.open the website
2.click rooms and tarif link
3.check all headings",minor,,https://drive.google.com/file/d/1WNOdyl0v3b-Y_Bx8jjj2VLFIBd6w9LDn/view?usp=share_link,New
DEF_AH_10,All headings should have corresponding content below it,unknown heading with no content below it is given in the rooms category page,"1.open the website
2. click rooms category link
3.scrol down to 'Bdb' heading",minor,,https://drive.google.com/file/d/1WNOdyl0v3b-Y_Bx8jjj2VLFIBd6w9LDn/view?usp=share_link,New
DEF_AH_11,all images should load completely,some images are not loaded in the image gallery page,"1.open the website
2.click image gallery
3.check all images",minor,,https://drive.google.com/file/d/1MpKFbldwZ3P_NGtBu1QzUQ-qMlqswJTV/view?usp=share_link,New
